,0
0,18.01
0,32.83
0,7.57
0,7.35
0,33.01
0,22.18
0,3.9
0,38.43
0,5.91
0,0.63
0,1.12
0,79.05
0,2.96
0,4.38
0,4.27
0,17.35
0,6.18
0,6.18
0,1.18
0,1.21
0,18.01
0,32.83
0,7.57
0,7.35
0,33.01
0,22.18
0,3.9
0,38.43
0,5.91
0,0.63
0,1.12
0,79.05
0,2.96
0,4.38
0,4.27
0,17.35
0,6.18
0,6.18
0,1.18
0,1.21
0,32.09
0,78.06
0,16.35
0,8.64
0,1.05
0,291.83
0,3.74
0,8.5
0,16.42
0,3.26
0,534.46
0,3.83
0,110.88
0,5.31
0,10958.9
0,8.56
0,8.55
0,21.19
0,9.46
0,43.33
0,24.98
0,2.02
0,1.54
0,6.5
0,14.73
0,1.17
0,3.28
0,12.84
0,1.92
0,10.64
0,3.79
0,3.69
0,4.1
0,10.14
0,17.95
0,6.01
0,13.66
0,12.58
0,27.65
0,27.01
0,159.64
0,2.03
0,2.6
0,25.93
0,0.06
0,57.51
0,2.98
0,0.09
0,3.6
0,5.57
0,22.57
0,3.75
0,222.17
0,3.38
0,1.58
0,1.34
0,1.87
0,1.86
0,0.37
0,3.79
0,6.85
0,5.21
0,3.96
0,558.68
0,17.45
0,5.05
0,3.32
0,15.49
0,1.13
0,4.4
0,5.12
0,4.95
0,198.18
0,364.59
0,1.88
0,0.47
0,7.1
0,15.37
0,4.36
0,2.25
0,19.38
0,2.61
0,7.06
0,92.28
0,1.36
0,0.36
0,0.31
0,11.32
0,7.1
0,2.44
0,6.49
0,2.8
0,5.42
0,2.71
0,558.9
0,4.57
0,16.52
0,92.27
0,1.66
0,1.49
0,0.22
0,6763050.73
0,6.65
0,1.8
0,7.03
0,0.34
0,0.89
0,1.33
0,1.25
0,0.86
0,0.77
0,0.82
0,0.71
0,1.13
0,0.75
0,0.23
0,0.71
0,1.41
0,1.39
0,0.72
0,0.08
0,0.87
0,0.68
0,0.67
0,19.21
0,0.54
0,0.02
0,0.7
0,6.1
0,2.17
0,1.1
0,0.19
0,0.06
0,0.6
0,0.29
0,0.73
0,2.68
0,1.96
0,1.22
0,8.75
0,1.04
0,0.67
0,3.05
0,22.09
0,1.79
0,-6.74
0,2.97
0,1.41
0,15.88
0,6.62
0,5.96
0,1.16
0,3.6
0,11.09
0,7.52
